Real Estate Company Name,First Name,Last Name,Street Address,City,State,Zip Code,Listing Price,Phone Number,DNC,Company Email Address
"Santos, Garcia and Thompson",Timothy,Hodge,16224 Villegas Manors Apt. 856,Austin,TX,89640,250976,666-256-7554,NO,"hello@santos,garciaandthompson.com"
"Manning, Rivera and Swanson",Victor,Hall,051 Thomas Islands,Austin,TX,95286,770931,723-573-2130,NO,"contact@manning,riveraandswanson.com"
Hall-Lang,Savannah,Randolph,793 Mark Points,Austin,TX,34567,515576,937-610-1061,NO,info@hall-lang.com
Williams LLC,Justin,Myers,0830 Ramos Trail,Austin,TX,40949,343700,697-846-7497,NO,info@williamsllc.com
"Greer, Randall and Turner",Melissa,Kirk,6634 Erin Knoll,Austin,TX,11661,173611,358-829-8876,NO,"info@greer,randallandturner.com"
Evans PLC,Nicholas,Lopez,9764 Lorraine Neck,Austin,TX,13847,234619,823-478-1733,NO,info@evansplc.com
"Wagner, Monroe and Simon",Dylan,Long,1526 Frank Flat Apt. 540,Austin,TX,19366,160517,857-331-7293,NO,"inquiries@wagner,monroeandsimon.com"
Powell-Humphrey,Suzanne,Moore,53762 Lin Trail Apt. 140,Austin,TX,02577,238021,659-906-7177,NO,hello@powell-humphrey.com
Lyons-Wright,Zachary,Mooney,6822 Taylor Passage,Austin,TX,71529,459243,745-935-8248,NO,hello@lyons-wright.com
Baker-Zuniga,Timothy,Cooper,23521 Jessica Track Suite 373,Austin,TX,21241,723099,217-412-8097,NO,inquiries@baker-zuniga.com
Solis-Harper,Sierra,Mcgee,85288 Castillo Run,Austin,TX,70158,746005,367-740-4997,NO,hello@solis-harper.com
Steele Ltd,Benjamin,Galvan,095 Sean Stravenue,Austin,TX,25346,397547,731-590-1689,NO,ask@steeleltd.com
"Singleton, Chapman and Hodges",Jamie,Fox,4133 Boyle Orchard,Austin,TX,04771,288950,977-476-8582,NO,"inquiries@singleton,chapmanandhodges.com"
Gonzales-Williams,Jessica,Williams,6895 Sandy Junctions Suite 160,Austin,TX,93800,400508,137-817-8549,NO,inquiries@gonzales-williams.com
"Todd, Ward and Norris",Michael,Santiago,57500 Diaz Lights Suite 122,Austin,TX,32544,225983,273-509-2700,NO,"hello@todd,wardandnorris.com"
Middleton Ltd,John,Mayer,33504 Darren Mountains,Austin,TX,68648,756663,561-542-1902,NO,ask@middletonltd.com
Davis and Sons,Michael,Nelson,9225 Amy Keys Suite 400,Austin,TX,27083,222263,706-692-6143,NO,inquiries@davisandsons.com
Keller and Sons,Paul,Jenkins,165 Rogers Trail Apt. 562,Austin,TX,07578,694868,322-678-2114,NO,hello@kellerandsons.com
Bradford-Taylor,Mary,Watts,63017 Coleman Causeway,Austin,TX,07950,332311,665-897-2261,NO,ask@bradford-taylor.com
Ortega-Hicks,Tara,Velasquez,8018 Edward Drives Suite 072,Austin,TX,50672,132997,417-406-3548,NO,inquiries@ortega-hicks.com
Henry Inc,Roger,Thompson,164 Thomas Prairie,Austin,TX,16052,546039,982-395-5490,NO,info@henryinc.com
"Andrews, Cortez and Nichols",Sherri,Rosario,5444 Jones Locks,Austin,TX,35984,180844,928-829-9152,NO,"hello@andrews,cortezandnichols.com"
Ayala PLC,Katelyn,Hall,7977 Moore Mountains Apt. 996,Austin,TX,75363,133323,506-345-9934,NO,inquiries@ayalaplc.com
Martinez PLC,Sarah,Pearson,58251 Nicholas Street,Austin,TX,95268,209764,623-599-5044,NO,ask@martinezplc.com
Green-Stewart,Kelsey,Andrade,0701 Kelly Flat,Austin,TX,70120,242057,531-131-6076,NO,contact@green-stewart.com
Rodriguez and Sons,Randy,Jackson,2514 Amanda Trace,Austin,TX,25140,210288,504-899-3636,NO,info@rodriguezandsons.com
Greene-Willis,Christina,Mcfarland,794 Armstrong Meadows Suite 449,Austin,TX,36992,640565,647-620-3100,NO,inquiries@greene-willis.com
Stanton Ltd,Nicole,Brown,67488 Davis Islands,Austin,TX,14629,490342,119-986-1183,NO,hello@stantonltd.com
"Miller, Hill and Willis",Heather,Mckenzie,417 Le Locks,Austin,TX,68229,618622,328-419-9122,NO,"hello@miller,hillandwillis.com"
Butler and Sons,Susan,Villarreal,5092 Jessica Highway,Austin,TX,85345,211610,614-867-9145,NO,inquiries@butlerandsons.com
"Callahan, Jackson and Schultz",Dennis,Davila,111 David Lodge,Austin,TX,54821,382554,139-703-3107,NO,"inquiries@callahan,jacksonandschultz.com"
Patterson-Romero,Kelly,Ramirez,007 Perez Trafficway,Austin,TX,93741,367840,972-724-8725,NO,ask@patterson-romero.com
Bowman-Smith,Mark,Robinson,9447 Zavala Grove,Austin,TX,59767,788487,677-110-3900,NO,contact@bowman-smith.com
"Mcpherson, Monroe and Smith",Mary,Dalton,631 Thompson Parkway Apt. 512,Austin,TX,81690,260761,469-672-6720,NO,"contact@mcpherson,monroeandsmith.com"
"Francis, Bell and Vang",Brenda,Scott,7635 Cindy Turnpike Suite 120,Austin,TX,51215,285398,882-195-6451,NO,"info@francis,bellandvang.com"
Rice Ltd,Marie,Roberts,9365 Lopez Street,Austin,TX,70515,377066,834-360-6867,NO,info@riceltd.com
Ellis LLC,Kelly,Hawkins,30932 Hess Gardens Suite 524,Austin,TX,89398,697244,595-387-3593,NO,contact@ellisllc.com
"Miller, Butler and Williams",Mark,Wagner,5958 Joseph Lakes,Austin,TX,75939,135562,975-473-6160,NO,"info@miller,butlerandwilliams.com"
Howe LLC,Jack,Sweeney,2956 Austin Street Suite 437,Austin,TX,31335,419700,266-794-2026,NO,inquiries@howellc.com
"Holland, Ferguson and Hernandez",Russell,Powell,06941 Stephanie Lights,Austin,TX,49096,311983,264-987-7502,NO,"contact@holland,fergusonandhernandez.com"
Gordon-Carter,Stacy,Pena,3833 Andrade Route Apt. 789,Austin,TX,69494,591586,590-881-1725,NO,inquiries@gordon-carter.com
Dalton PLC,Nathan,Sanders,427 Gregory Center,Austin,TX,53465,604572,898-702-6080,NO,hello@daltonplc.com
Perry Inc,David,Copeland,21184 Mark Keys Suite 096,Austin,TX,90310,469075,282-719-5582,NO,contact@perryinc.com
Coleman Group,Michelle,Collins,76522 Reed Bridge Suite 272,Austin,TX,00590,379561,174-380-8780,NO,hello@colemangroup.com
"Smith, Wilson and Hill",James,Graham,689 Jonathan Ferry,Austin,TX,20908,348212,174-716-8378,NO,"hello@smith,wilsonandhill.com"
Smith-Monroe,Crystal,Ray,601 Matthew Ramp,Austin,TX,03995,325153,884-861-1412,NO,ask@smith-monroe.com
"Chandler, Hernandez and Jackson",Carol,Snyder,810 Judith View,Austin,TX,33789,419787,992-165-7855,NO,"hello@chandler,hernandezandjackson.com"
"Lawrence, Shelton and Miller",Daniel,Taylor,483 Perez Mountain Suite 432,Austin,TX,68027,316091,993-691-1376,NO,"hello@lawrence,sheltonandmiller.com"
Osborne-Smith,Ian,Colon,6969 Felicia Cliffs Apt. 178,Austin,TX,64332,205781,797-124-5608,NO,inquiries@osborne-smith.com
Miller-Hill,Cynthia,Lawrence,435 Brooks Views,Austin,TX,40022,779921,817-469-3469,NO,hello@miller-hill.com
Mcdonald-Wiggins,Theresa,Martinez,46409 Larson Wall,Austin,TX,88531,263386,893-358-4805,NO,info@mcdonald-wiggins.com
"Nielsen, Hall and Kaiser",Christine,Bass,28326 Sanders Groves,Austin,TX,26306,376631,338-642-5480,NO,"contact@nielsen,hallandkaiser.com"
Clark-Jacobs,Ebony,Russell,625 Adam Canyon Suite 147,Austin,TX,12918,342749,965-341-6375,NO,inquiries@clark-jacobs.com
Miles-Sosa,Jessica,Scott,58688 Christopher Ports Suite 461,Austin,TX,48119,634540,650-760-6231,NO,info@miles-sosa.com
Jennings Group,Justin,Morales,5739 Harper Plaza,Austin,TX,38340,656338,441-620-6941,NO,info@jenningsgroup.com
"Sexton, Walker and Flores",Luis,Padilla,2253 Erin Fork,Austin,TX,72228,300014,705-482-9120,NO,"contact@sexton,walkerandflores.com"
"Singh, Taylor and Torres",Jeffrey,Smith,521 Tara Crescent,Austin,TX,33792,280501,758-532-6608,NO,"hello@singh,taylorandtorres.com"
Nelson-Davila,Rachel,Powell,2172 Kaitlyn Avenue Suite 448,Austin,TX,14131,312674,372-579-5146,NO,ask@nelson-davila.com
Perez and Sons,Christopher,Wilson,0028 Long Highway Suite 170,Austin,TX,86347,516366,338-748-9727,NO,hello@perezandsons.com
Garcia-Schwartz,Daniel,Walsh,58326 Stokes Trail,Austin,TX,04896,661898,515-310-3460,NO,info@garcia-schwartz.com
Mitchell-Mcintosh,Heather,Knight,620 Wilson Drive,Austin,TX,34403,116468,770-493-2868,NO,info@mitchell-mcintosh.com
"Reyes, Watson and Miller",Madison,Conrad,92237 Sanchez Pine Suite 729,Austin,TX,57893,710510,481-609-5297,NO,"info@reyes,watsonandmiller.com"
Martinez Ltd,Todd,West,8046 Edward Gardens Suite 471,Austin,TX,59698,562691,250-718-5725,NO,contact@martinezltd.com
Sexton-Martin,Chad,Bright,61151 Berry Wells,Austin,TX,13255,744199,148-280-6550,NO,info@sexton-martin.com
Austin Ltd,Ryan,Mcclure,3843 Roy Station,Austin,TX,99370,101908,641-349-2321,NO,ask@austinltd.com
"Herrera, Smith and Henry",Robert,Johnson,22800 Phillip Villages,Austin,TX,30330,616720,857-805-4841,NO,"contact@herrera,smithandhenry.com"
"Brown, Perkins and Cole",Steven,Smith,05388 Caleb Branch Apt. 947,Austin,TX,20583,294810,997-385-7116,NO,"hello@brown,perkinsandcole.com"
"Powers, Avery and Oliver",Gregory,Hill,290 Ralph Crossing Suite 024,Austin,TX,37484,667970,438-860-2448,NO,"ask@powers,averyandoliver.com"
Curry and Sons,Teresa,James,05562 Marvin Street,Austin,TX,76925,107088,111-592-7197,NO,hello@curryandsons.com
"Moody, Turner and Heath",Jesus,Garcia,56552 Derek Path Suite 409,Austin,TX,87807,423481,567-447-8353,NO,"hello@moody,turnerandheath.com"
Munoz Group,John,Martinez,151 Maria Fort,Austin,TX,92920,738797,173-464-6431,NO,ask@munozgroup.com
"Thompson, Anthony and Hunter",Robert,Clay,53618 Brown Pine,Austin,TX,65760,706028,426-968-5658,NO,"info@thompson,anthonyandhunter.com"
"Hodge, Holt and Rodgers",Clifford,Delacruz,51504 Stephanie Fort Apt. 040,Austin,TX,60963,117112,880-818-1128,NO,"inquiries@hodge,holtandrodgers.com"
Kennedy Group,Matthew,Chen,198 Scott Crest,Austin,TX,70478,327140,261-255-6731,NO,ask@kennedygroup.com
Schultz-Romero,Joseph,Bowers,674 Robertson Junctions Apt. 470,Austin,TX,38706,110702,666-331-6433,NO,info@schultz-romero.com
"Jimenez, Hopkins and Jordan",Barbara,Hoffman,46209 Stephen Burgs Suite 887,Austin,TX,56211,620880,997-573-4653,NO,"inquiries@jimenez,hopkinsandjordan.com"
Arroyo-Young,John,White,26009 Taylor Field Apt. 464,Austin,TX,69534,368641,728-587-3803,NO,hello@arroyo-young.com
"Johnson, Allen and Marshall",Joseph,Mcmahon,60785 Gallegos Falls Suite 929,Austin,TX,26646,199386,315-835-8524,NO,"contact@johnson,allenandmarshall.com"
Brady Ltd,Zachary,Kaufman,81742 Patel Rue Apt. 899,Austin,TX,64257,596699,566-146-2377,NO,inquiries@bradyltd.com
Fernandez Inc,Oscar,Hill,68703 Dana Cape Suite 105,Austin,TX,85859,272605,160-509-9139,NO,info@fernandezinc.com
Bowman-Moore,Jasmine,Martinez,899 Hanson Circle,Austin,TX,85541,790058,220-164-5812,NO,hello@bowman-moore.com
Stewart-Smith,Rachel,Dougherty,8887 Sanchez Field,Austin,TX,79584,145169,974-917-7300,NO,contact@stewart-smith.com
Carr Inc,Paul,White,800 Hall Glen Apt. 537,Austin,TX,71015,615585,978-993-7535,NO,hello@carrinc.com
"Strickland, Stewart and Bates",John,Lloyd,349 Dennis Rest,Austin,TX,04224,132876,356-351-8146,NO,"inquiries@strickland,stewartandbates.com"
"Wagner, Young and Reynolds",Courtney,Smith,88567 Warren Village Apt. 006,Austin,TX,63804,243521,403-983-3220,NO,"ask@wagner,youngandreynolds.com"
Moody Inc,Angela,Baker,20444 Walter Curve Suite 246,Austin,TX,50746,684557,691-878-6341,NO,contact@moodyinc.com
"Ross, Peterson and Lowe",Ann,Burch,4880 Dana Pass Suite 721,Austin,TX,44157,210397,208-653-9812,NO,"ask@ross,petersonandlowe.com"
"Fernandez, Ruiz and Nguyen",Rebecca,Blevins,722 Martin Meadow Apt. 979,Austin,TX,93271,784111,689-477-8885,NO,"inquiries@fernandez,ruizandnguyen.com"
Turner-Simon,Brian,Campbell,4043 Moore Inlet Suite 189,Austin,TX,64876,658817,530-824-1703,NO,hello@turner-simon.com
Jordan-Wilson,Edward,Baker,5059 James Way Suite 141,Austin,TX,16643,404568,595-366-1511,NO,ask@jordan-wilson.com
"Moran, Robinson and Smith",Anthony,Howard,320 Timothy Fields Suite 429,Austin,TX,70218,497592,139-459-5334,NO,"hello@moran,robinsonandsmith.com"
"Frank, Horne and Johnson",Joshua,Little,52048 Joseph Squares Apt. 230,Austin,TX,08805,365225,516-925-4937,NO,"ask@frank,horneandjohnson.com"
Ramirez PLC,Julie,Goodman,40478 Obrien Valleys,Austin,TX,61107,665321,609-413-5604,NO,hello@ramirezplc.com
"Dougherty, Williams and Schultz",Sheena,Kelley,1431 Levy Pass,Austin,TX,76827,730402,991-640-2440,NO,"ask@dougherty,williamsandschultz.com"
"Hunter, Mccoy and Boyer",Leslie,Johnson,6853 Quinn Highway,Austin,TX,10909,501260,824-193-9853,NO,"hello@hunter,mccoyandboyer.com"
"Spencer, Harris and Kim",Joel,Wilson,01364 Jenkins Circles,Austin,TX,51444,411164,937-697-3825,NO,"inquiries@spencer,harrisandkim.com"
Gallagher-Perez,Phillip,Conner,23257 Robinson Street Suite 175,Austin,TX,07907,308023,707-472-3623,NO,hello@gallagher-perez.com
"Bowen, Shepherd and Williamson",David,Gilmore,56871 Zavala Road,Austin,TX,73682,606902,402-865-9785,NO,"hello@bowen,shepherdandwilliamson.com"
Johnson Ltd,Gregory,Benitez,64879 Danielle Camp,Austin,TX,14697,289210,913-704-8026,NO,contact@johnsonltd.com
Erickson Group,Robert,Jensen,8220 Michael Passage,Austin,TX,84462,416792,547-460-7436,NO,hello@ericksongroup.com
Riley-Rivera,Paul,Snow,72361 Brown Burgs Suite 439,Austin,TX,79669,649709,406-472-6057,NO,inquiries@riley-rivera.com
Payne LLC,Pamela,Gregory,835 Wood Cove Apt. 059,Austin,TX,97442,349856,153-165-6899,NO,info@paynellc.com
Clark-Harris,Heidi,Phillips,07276 Whitehead Forest,Austin,TX,77088,362047,919-538-2385,NO,contact@clark-harris.com
"Gardner, Gonzales and Sanchez",Stacey,Richardson,76109 Nancy Station,Austin,TX,26454,359089,128-316-3357,NO,"contact@gardner,gonzalesandsanchez.com"
Gates PLC,Timothy,Chan,11549 Jennifer Motorway,Austin,TX,97284,643568,432-830-6821,NO,ask@gatesplc.com
Jackson Group,John,Roberts,10810 Powell Terrace Apt. 389,Austin,TX,45036,148379,498-811-6751,NO,contact@jacksongroup.com
"Clark, Allen and Williams",James,Austin,3862 Laura Club Suite 419,Austin,TX,14115,206912,423-162-9036,NO,"ask@clark,allenandwilliams.com"
"Jordan, Shepherd and Horton",Kimberly,Rivera,76317 Patrick Orchard,Austin,TX,41772,796642,574-775-1586,NO,"inquiries@jordan,shepherdandhorton.com"
Tucker PLC,Rebecca,Ward,815 Kyle Summit,Austin,TX,66602,217629,450-532-3124,NO,hello@tuckerplc.com
Mahoney Inc,Steven,Branch,2152 Reynolds Groves Apt. 681,Austin,TX,16218,700767,508-715-8615,NO,inquiries@mahoneyinc.com
"West, Cross and Fields",Adam,Long,17570 Jason Wells Suite 418,Austin,TX,70773,547726,994-672-7759,NO,"hello@west,crossandfields.com"
Ray-King,Mary,Fisher,5930 Michael Mount Apt. 341,Austin,TX,98151,132739,395-553-4670,NO,inquiries@ray-king.com
Jackson Group,Mary,Cole,96797 Johnson Square,Austin,TX,44090,730566,625-117-4422,NO,ask@jacksongroup.com
"Wilson, Chung and Garcia",Allison,Dennis,478 Brewer Valleys Suite 346,Austin,TX,92412,225857,519-966-9869,NO,"contact@wilson,chungandgarcia.com"
Moore-Bell,Jennifer,Rodriguez,206 Nathan Parkway Apt. 846,Austin,TX,52439,414751,243-157-4319,NO,ask@moore-bell.com
Snyder-Jennings,Paula,Herrera,381 Joshua Inlet Apt. 762,Austin,TX,79323,771977,259-449-4896,NO,contact@snyder-jennings.com
Whitney-Klein,Nicholas,Oliver,0239 Christina Track,Austin,TX,81052,285375,678-805-7379,NO,ask@whitney-klein.com
"Anderson, Williams and Bailey",Trevor,Anderson,4256 Taylor Grove Apt. 076,Austin,TX,99167,174168,222-512-2186,NO,"inquiries@anderson,williamsandbailey.com"
Rojas-Morgan,Christine,Wright,297 Sarah Forges Suite 057,Austin,TX,11821,403256,130-321-8712,NO,inquiries@rojas-morgan.com
"Hayes, Campbell and Wood",Carl,Compton,8259 Jamie Drive Apt. 741,Austin,TX,52460,251635,701-818-7179,NO,"contact@hayes,campbellandwood.com"
Wright-Owens,Ralph,Ochoa,8643 David Burg,Austin,TX,07204,705351,820-305-1497,NO,contact@wright-owens.com
Scott PLC,Albert,Carrillo,6729 William Springs Apt. 040,Austin,TX,03286,722796,465-777-4484,NO,inquiries@scottplc.com
Beasley PLC,Jason,Villarreal,2851 Jessica Groves,Austin,TX,34187,490467,911-990-6810,NO,contact@beasleyplc.com
Underwood-Hudson,Kenneth,Henry,7506 Perez Drives,Austin,TX,56879,209371,712-368-8666,NO,inquiries@underwood-hudson.com
Kent-Gonzalez,Benjamin,Miller,3927 Robinson Squares,Austin,TX,12165,509563,655-215-7158,NO,inquiries@kent-gonzalez.com
Williamson Inc,Kathy,Schmitt,8638 Allison Stravenue,Austin,TX,82767,679586,963-173-1798,NO,contact@williamsoninc.com
"Crawford, Williams and York",Brian,Rios,13055 Mark Ranch Suite 908,Austin,TX,15784,703872,632-170-2146,NO,"inquiries@crawford,williamsandyork.com"
Aguirre Inc,Daniel,Bauer,2742 Jefferson Course,Austin,TX,13533,262314,543-336-7604,NO,inquiries@aguirreinc.com
Farmer and Sons,Carla,James,7309 Boyd Ferry,Austin,TX,62329,483661,176-819-4279,NO,hello@farmerandsons.com
"Hawkins, Schroeder and Cooper",Michelle,Saunders,43527 Jason Mills Suite 648,Austin,TX,07614,779868,387-878-4175,NO,"hello@hawkins,schroederandcooper.com"
Andrade Group,Shelby,Hull,959 Melissa Shoals Apt. 514,Austin,TX,13702,128294,522-602-1735,NO,hello@andradegroup.com
"Chen, Jackson and Ford",Kevin,Cummings,024 Christopher Meadows,Austin,TX,93519,628283,552-287-6715,NO,"ask@chen,jacksonandford.com"
