Owner first name,Owner last name,Street address,City,State,Zip code,Listing price,Phone number,DNC (Do Not Call List)
Amber,Wilkins,51825 Scott Wall Apt. 565,Austin,TX,79566,287486.86,+1-548-508-6363,NO
Ashley,Warren,9172 Mark Ports,Austin,TX,76252,630237.6,+1-560-781-5282,NO
Shawn,Owens,3808 Davis Wells Apt. 980,Austin,TX,77700,921425.5,+1-647-892-9331,NO
Ashley,Lopez,6025 Faith Ville,Austin,TX,76068,205948.27,+1-251-347-2440,NO
Elizabeth,Dean,31934 Sandra Avenue Suite 940,Austin,TX,78410,622590.99,+1-701-713-2241,NO
Lauren,Mcguire,72153 Davis Gardens,Austin,TX,75586,504174.46,+1-589-454-5852,NO
Dawn,Gibson,672 Ross Crescent,Austin,TX,75770,450422.06,+1-826-761-1473,NO
Shelby,Weber,1077 Christopher Isle,Austin,TX,77238,430832.33,+1-875-505-3760,NO
Erica,Chavez,03330 Jessica Cape Suite 542,Austin,TX,77849,426956.26,+1-644-646-9538,NO
Lauren,Smith,10859 Brown Locks,Austin,TX,77812,806805.74,+1-287-180-5660,NO
Katherine,Hendricks,37288 Francis Port Suite 338,Austin,TX,76940,708147.57,+1-501-269-7827,NO
Joseph,Brown,00518 Ryan Fall Suite 665,Austin,TX,78810,702838.27,+1-497-595-2701,NO
Elizabeth,Walker,908 Brandon Square,Austin,TX,75874,329344.24,+1-521-477-1307,NO
Nicole,Moore,5485 Johnson Springs,Austin,TX,75722,584725.99,+1-686-339-5490,NO
Derek,Bradley,9355 Michelle Terrace Suite 757,Austin,TX,76136,317848.42,+1-768-892-2680,NO
Miranda,Armstrong,7608 Daniel Park,Austin,TX,79044,223727.5,+1-808-146-5653,NO
Jacqueline,Adams,87259 Brian Motorway,Austin,TX,77731,760084.61,+1-373-766-9865,NO
Bruce,Zimmerman,749 White Lane,Austin,TX,77892,144345.1,+1-427-679-5972,NO
Nicholas,Dawson,31190 Garcia Cliff Apt. 402,Austin,TX,75783,615747.38,+1-322-503-1565,NO
David,Miller,130 Daniel Meadows,Austin,TX,75565,368760.26,+1-269-363-8684,NO
Ryan,Harris,69216 Franklin Flat,Austin,TX,75584,481307.09,+1-216-653-9161,NO
Tammy,Valencia,950 Sullivan Villages Suite 017,Austin,TX,79021,693439.47,+1-696-445-3402,NO
Matthew,Armstrong,63566 Michael Expressway,Austin,TX,76736,572557.86,+1-619-221-3720,NO
Pamela,Swanson,8733 William Dale Suite 274,Austin,TX,77878,561834.97,+1-862-882-5849,NO
James,Collins,439 Sanders Way,Austin,TX,76625,806579.75,+1-612-393-5234,NO
Andrea,Campbell,8299 Bonilla Ferry Suite 815,Austin,TX,77519,683614.78,+1-429-393-4147,NO
Brittany,Harding,2547 Samantha Lock Suite 114,Austin,TX,76240,906600.78,+1-360-581-8285,NO
Samuel,Ward,82773 Lindsay Via Apt. 567,Austin,TX,77271,363623.18,+1-777-322-2330,NO
Logan,Frey,76082 Lane Skyway Suite 233,Austin,TX,78801,500566.66,+1-444-212-1836,NO
Jennifer,Cruz,303 Hughes Spurs,Austin,TX,78259,185438.51,+1-382-109-2046,NO
Derrick,Carlson,580 Guerrero Parkway Apt. 954,Austin,TX,79961,868455.07,+1-523-439-9755,NO
Jennifer,Ingram,286 Ramos Flat Apt. 765,Austin,TX,79395,752707.73,+1-700-516-8428,NO
Joshua,Jackson,42737 Lambert Avenue,Austin,TX,79151,629021.67,+1-749-601-1968,NO
William,Phillips,193 Jacqueline Center Suite 318,Austin,TX,76885,164696.76,+1-915-415-9279,NO
Brian,Hernandez,1856 Austin Junction Apt. 247,Austin,TX,77640,488625.32,+1-640-916-1600,NO
Samantha,Thompson,97020 Edwards Oval Apt. 602,Austin,TX,78090,303020.51,+1-200-451-8292,NO
David,Pineda,310 Cassidy Burgs Suite 959,Austin,TX,76510,736362.37,+1-379-167-9336,NO
Marcia,Moreno,63373 David Groves Apt. 917,Austin,TX,79519,533605.98,+1-909-693-8057,NO
Laura,Brown,81803 Henderson Spurs,Austin,TX,78838,409806.55,+1-244-153-7140,NO
Ruben,Sanchez,393 Miller Islands,Austin,TX,79608,848772.43,+1-603-538-3081,NO
Jim,Bentley,4588 Christina Flat Suite 748,Austin,TX,79788,130019.21,+1-694-556-2076,NO
Jessica,Walker,6427 Hood Villages Apt. 366,Austin,TX,77343,912463.56,+1-338-255-5301,NO
Veronica,Moore,7714 Kimberly Pines,Austin,TX,78699,607470.87,+1-326-445-8287,NO
Brandy,Stewart,7283 Johns Landing Suite 033,Austin,TX,79372,643548.74,+1-234-378-3701,NO
Pamela,Bush,923 Gomez Road Suite 472,Austin,TX,79898,512568.68,+1-720-467-1018,NO
Elizabeth,English,70366 Philip Curve,Austin,TX,76249,406980.76,+1-392-894-1115,NO
Gregory,Friedman,4893 Schroeder Hills,Austin,TX,79644,376890.32,+1-550-278-1120,NO
Christian,Ramos,84674 Hernandez Knolls,Austin,TX,78259,873822.55,+1-401-729-5217,NO
Jared,Marshall,955 Jerry Trail Apt. 446,Austin,TX,78006,250218.99,+1-200-392-5054,NO
Amanda,Lin,7034 David Plaza,Austin,TX,76229,543989.95,+1-351-997-2271,NO
Ryan,Mckee,47293 Johnson Square Suite 382,Austin,TX,77359,923185.42,+1-419-393-3538,NO
Anthony,Cooper,65516 Kristen Way,Austin,TX,78884,946497.58,+1-680-716-5347,NO
Lawrence,Hansen,6466 Geoffrey Cliff,Austin,TX,77392,854825.34,+1-492-913-8467,NO
Joel,Holden,027 Patterson Wall,Austin,TX,76687,401223.12,+1-363-691-3901,NO
John,Lopez,8730 Megan Mountain,Austin,TX,78426,334875.62,+1-851-651-2107,NO
Duane,Wilson,62664 Jessica Manor,Austin,TX,75676,241363.97,+1-373-691-4471,NO
Judy,Francis,261 Martin Locks Apt. 244,Austin,TX,79764,135908.75,+1-277-506-3780,NO
Ryan,Sanders,30384 Andersen Wells Suite 547,Austin,TX,78252,437338.23,+1-347-514-1037,NO
Jesse,Rogers,865 Adam Mountain,Austin,TX,77755,260506.77,+1-372-171-1261,NO
Ricardo,Parker,620 Perez Park Suite 873,Austin,TX,79908,161886.36,+1-505-397-2037,NO
Kristine,Smith,1170 Brown Loop Suite 132,Austin,TX,75516,833110.8,+1-981-838-5589,NO
Jason,Conway,279 Fleming Haven Suite 881,Austin,TX,76774,138053.28,+1-853-578-5355,NO
Brett,Massey,995 Rose Club,Austin,TX,79256,488751.37,+1-319-127-9234,NO
William,Miller,4637 Graham Motorway Apt. 203,Austin,TX,75819,870358.52,+1-877-815-9376,NO
Ashley,Wallace,542 Gregory Route,Austin,TX,79775,338923.23,+1-237-709-1552,NO
Jason,Mcfarland,94892 Katie Mount,Austin,TX,76107,747004.03,+1-841-110-2143,NO
Debra,Green,151 Barry Points Suite 379,Austin,TX,77817,342746.2,+1-471-135-6064,NO
Eric,Elliott,789 William Springs,Austin,TX,77045,153354.18,+1-207-673-5775,NO
Sue,Lopez,91488 Cook Prairie,Austin,TX,77154,800101.05,+1-879-234-4410,NO
Randall,Shaw,45780 Miguel Common,Austin,TX,78941,687792.88,+1-208-698-5355,NO
Cody,Burton,9031 Davis Ville Suite 903,Austin,TX,77752,446870.64,+1-898-834-3375,NO
Preston,Elliott,352 Burke Junction Suite 478,Austin,TX,76354,247585.54,+1-836-536-9883,NO
Darlene,Perkins,9632 Tiffany Plaza Apt. 489,Austin,TX,79838,492949.79,+1-228-544-3741,NO
Ronnie,Gutierrez,92816 Sylvia Parkways Apt. 783,Austin,TX,75613,762472.1,+1-571-320-7287,NO
Steven,Adams,2270 Katrina Estates,Austin,TX,78662,823985.19,+1-975-288-3043,NO
Paula,Robinson,07898 Jennifer Mill Suite 806,Austin,TX,76530,410836.77,+1-634-804-6736,NO
Cynthia,Miller,2300 Jenkins Oval Suite 471,Austin,TX,77910,311853.26,+1-532-132-7237,NO
James,Brandt,45943 Long Glen Suite 474,Austin,TX,79533,316544.98,+1-493-707-2653,NO
Eric,Williams,027 Harding Parkway,Austin,TX,79634,852621.35,+1-213-314-6274,NO
Sarah,Young,381 Smith Corners Apt. 245,Austin,TX,76626,176956.97,+1-809-516-3015,NO
Mark,Olsen,9287 Danny Causeway Suite 885,Austin,TX,78755,696673.79,+1-905-553-2202,NO
Sharon,Mccarthy,73834 Shannon Corner,Austin,TX,78034,200334.11,+1-896-362-6209,NO
Kyle,Lopez,22014 Phillips Brook,Austin,TX,77040,630241.89,+1-431-483-3341,NO
Amanda,Campbell,686 Moore Light Apt. 096,Austin,TX,75683,503217.39,+1-912-343-7127,NO
Gregory,Williams,614 Welch Garden,Austin,TX,76539,634210.58,+1-868-299-9653,NO
Angela,Vang,9044 Mckee Lane Apt. 046,Austin,TX,76935,776930.18,+1-674-206-4829,NO
Samantha,Huber,06816 Rivera Island Suite 575,Austin,TX,76175,734855.89,+1-395-892-3335,NO
Stephanie,Espinoza,421 Spence Cliffs,Austin,TX,76896,443230.46,+1-903-635-2614,NO
Ashley,Dodson,0772 Makayla Tunnel Apt. 885,Austin,TX,76821,423577.43,+1-987-196-3141,NO
Ryan,Graham,883 Waters Fields Suite 297,Austin,TX,75842,716241.94,+1-988-875-3403,NO
Amanda,Rivera,571 Krista Ville,Austin,TX,78025,517121.48,+1-555-688-9477,NO
Kyle,Grant,178 Wilcox Centers Apt. 196,Austin,TX,76776,401181.94,+1-413-889-2456,NO
Bradley,Webb,1644 Sherman Locks Suite 289,Austin,TX,79180,780874.93,+1-740-127-7514,NO
Sydney,Smith,366 Foster Mountain Suite 392,Austin,TX,76046,498372.89,+1-538-961-4965,NO
Caitlin,Young,0147 Cook Vista Apt. 945,Austin,TX,78491,225360.05,+1-768-845-1121,NO
Makayla,Jones,73417 Lauren Skyway,Austin,TX,77993,854157.17,+1-522-669-6280,NO
Haley,Miller,6677 Taylor Knoll,Austin,TX,77322,915172.16,+1-935-104-8686,NO
Barry,Johnson,595 Johnny Ridges Apt. 288,Austin,TX,79220,815702.26,+1-855-854-7501,NO
Stacy,King,93840 Derrick Village,Austin,TX,79983,127006.29,+1-434-674-6802,NO
Dominique,Clark,425 Miller Field Apt. 729,Austin,TX,78160,289618.54,+1-531-161-2860,NO
Ryan,Hickman,0979 Tiffany Points,Austin,TX,76055,473073.73,+1-934-427-8374,NO
John,Taylor,1461 Smith Isle Apt. 300,Austin,TX,79806,339713.31,+1-314-800-5583,NO
Donald,Taylor,520 Nicholas Passage Suite 984,Austin,TX,77879,716701.7,+1-390-682-8238,NO
Mary,Burke,98590 Amanda Bypass Apt. 488,Austin,TX,77072,297190.35,+1-726-300-5038,NO
Gregory,Miller,6039 Richard Lock,Austin,TX,78291,456583.67,+1-753-707-1484,NO
Erin,Kelly,24134 Daniel Underpass Apt. 266,Austin,TX,78270,120677.8,+1-988-558-5949,NO
Melissa,Graves,60414 Erin Camp,Austin,TX,79962,751235.94,+1-854-467-9517,NO
Jeff,Guerra,63133 Bell Walk,Austin,TX,78066,858268.64,+1-962-544-6232,NO
Troy,Payne,753 Henderson Fords,Austin,TX,78624,773147.78,+1-208-404-5276,NO
Taylor,King,37055 Gonzalez Harbors Suite 593,Austin,TX,77069,942169.35,+1-245-192-2573,NO
Robert,Harris,104 Lopez Ports,Austin,TX,76344,344038.23,+1-854-842-2344,NO
Tara,Robinson,1475 Armstrong Wells,Austin,TX,78338,690608.65,+1-590-457-3732,NO
Max,Miller,3017 Lawrence Summit,Austin,TX,76493,754928.58,+1-397-918-4081,NO
Mark,Watson,123 Mcdonald Track Apt. 770,Austin,TX,78762,888467.05,+1-516-750-1682,NO
Ashley,Reyes,306 Terri Lodge,Austin,TX,79362,996036.35,+1-250-825-8547,NO
Shannon,Morrison,11336 Robert Circles,Austin,TX,77431,578469.58,+1-293-943-7659,NO
James,Murphy,075 John Vista,Austin,TX,79202,655278.21,+1-295-846-5501,NO
Bradley,Mcdonald,997 Richards Terrace,Austin,TX,77618,543527.76,+1-301-200-8615,NO
Michelle,Rowland,2357 Amy Drive,Austin,TX,78889,809944.5,+1-810-754-3002,NO
Ronald,Rhodes,177 Haynes Lock,Austin,TX,75944,465410.54,+1-806-763-2750,NO
Lauren,Schneider,81003 Robert Terrace,Austin,TX,75789,988640.62,+1-753-299-8444,NO
Nicholas,Gonzales,606 Travis Lights,Austin,TX,79300,848092.38,+1-932-500-1803,NO
Lindsey,Bullock,3820 Faulkner Summit Apt. 413,Austin,TX,79203,141709.1,+1-275-300-5625,NO
Phillip,Costa,8050 Julie Glens Apt. 753,Austin,TX,77262,794420.73,+1-231-813-8515,NO
Natasha,Hall,045 Meadows Union,Austin,TX,77171,720074.47,+1-923-492-6316,NO
Angela,Jenkins,042 Latasha Square Apt. 650,Austin,TX,77815,487211.79,+1-806-170-6645,NO
Madison,Brown,6294 Oneal Fork Suite 003,Austin,TX,78537,206001.59,+1-398-712-3230,NO
David,George,170 Padilla Oval Suite 774,Austin,TX,78697,459051.76,+1-804-211-5367,NO
